sa1_code_2021,lon,lat
80101100101,149.07860017630236,-35.25418987954362
80101100102,149.085309880009,-35.25658177239395
80101100103,149.07540832465563,-35.257059626670284
80101100104,149.08339101927334,-35.26221079530831
80101100105,149.0771251991997,-35.26092386471927
80101100106,149.08002877967508,-35.25851901980215
80101100201,149.06951090637492,-35.245095504540714
80101100202,149.0712124529653,-35.24832934487539
80101100203,149.064017521563,-35.234746984346366
80101100205,149.0701020966466,-35.230387954414844
80101100208,149.07373720939384,-35.24560498264882
80101100209,149.07065394879362,-35.24391602434479
80101100210,149.06004029442295,-35.23025612577154
80101100211,149.06027731491065,-35.234200219575
80101100212,149.0770922624698,-35.23302658450506
80101100213,149.07126139497865,-35.237808250289554
80101100215,149.07484290435457,-35.23953093543016
80101100216,149.07042205678783,-35.24035289931269
80101100217,149.0689635062785,-35.23667659451695
80101100218,149.06978709790064,-35.24238350458987
80101100219,149.07218269725257,-35.24205162438977
80101100220,149.0681727813176,-35.24253899930115
80101100221,149.06662706368297,-35.23640518437658
80101100222,149.07065961446813,-35.23867491568762
80101100223,149.06198200290956,-35.24163108971567
80101100224,149.0691460735886,-35.241594619341996
80101100225,149.06894925989639,-35.23877326425428
80101100301,149.09597102651213,-35.24316706457132
80101100304,149.1005840344979,-35.24090522281914
80101100306,149.09294422323092,-35.23905710489778
80101100307,149.09360765961097,-35.23638974974469
80101100308,149.083483723614,-35.23892068929838
80101100309,149.09457712326218,-35.237212514397335
80101100310,149.09807593193645,-35.237254474944216
80101100311,149.09725581320114,-35.238675244387004
80101100312,149.09607358447315,-35.24115499997502
80101100314,149.0999533713544,-35.24837414463448
80101100315,149.08221073270295,-35.24580478962653
80101100316,149.08716203813992,-35.24800628437662
80101100317,149.0919922848125,-35.24230021533676
80101100318,149.08304509871866,-35.2509870149108
80101100319,149.07719870474614,-35.24874635134732
80101100320,149.0934650044489,-35.24461599945488
80101100321,149.09711434561189,-35.24547287427454
80101100322,149.09905759201428,-35.24382881966883
80101100401,149.0385677294393,-35.1950206949187
80101100402,149.03698117259523,-35.19737411975589
80101100403,149.0416380318416,-35.19912479493717
80101100404,149.03943102749537,-35.20208105996306
80101100405,149.0321233188973,-35.19660805490525
80101100406,149.02880786535567,-35.20142911980742
80101100408,149.03116144601023,-35.20483105476464
80101100409,149.0349466843094,-35.201899140943205
80101100501,149.06108425895394,-35.25754743951196
80101100502,149.0659195092427,-35.2587478747205
80101100503,149.06839543415066,-35.2638703943039
80101100504,149.0708266633817,-35.258650764362095
80101100505,149.0699812795291,-35.256001394797195
80101100506,149.0716403546711,-35.2630140535466
80101100507,149.0651647132999,-35.26350390996199
80101100508,149.06295277001624,-35.261848132301175
80101100509,149.0602668495376,-35.259946574264504
80101100602,149.02219861934896,-35.201135449357345
80101100604,149.02725902697372,-35.197246714636286
80101100605,149.02426477324852,-35.187177784536466
80101100606,149.02882464229194,-35.18549920437276
80101100607,149.02944485982536,-35.18874404469691
80101100608,149.0232404943986,-35.19085949861012
80101100609,149.0271528047847,-35.19209436236208
80101100610,149.0244668097458,-35.19452868062597
80101100611,149.02077018935103,-35.19895270941372
80101100612,149.01846641039756,-35.19653359448763
80101100613,149.0238341918682,-35.19694790958105
80101100614,149.01257391847793,-35.20094649973694
80101100615,149.01743263725345,-35.20248078431398
80101100616,149.02078588920727,-35.19265133462954
80101100617,149.0153447144796,-35.199661674850915
80101100618,149.03093155455255,-35.19115845600139
80101100619,149.0174422141927,-35.19190703468655
80101100620,149.0159901549096,-35.19358140081891
80101100621,149.01104106831139,-35.19149347426502
80101100622,149.01897068686887,-35.1898394949083
80101100623,149.02968079784313,-35.194284804571296
80101100701,149.06051141138212,-35.21928854998356
80101100702,149.06008978890017,-35.2154024547863
80101100703,149.0665907097617,-35.216479190522314
80101100704,149.06313578199246,-35.21289787999735
80101100705,149.07194812467395,-35.211977655555174
80101100706,149.06409276355288,-35.21011168487037
80101100707,149.06872477270352,-35.20840682435237
80101100708,149.08018237991058,-35.209389059752546
80101100709,149.07405051930704,-35.20932215038727
80101100710,149.07111796996034,-35.204951213595116
80101100711,149.07375950917245,-35.20297572691937
80101100712,149.07839476213954,-35.211192169351435
80101100713,149.07786605688247,-35.20547244492648
80101100714,149.06778582841577,-35.21254389472469
80101100801,149.05227785413652,-35.223311410491
80101100802,149.04842713943282,-35.22321613853236
80101100803,149.04474715493882,-35.22197183653225
80101100804,149.05607279963067,-35.22384605152312
80101100805,149.05608690497724,-35.23257499731134
80101100806,149.0516741709942,-35.23171765968917
80101100807,149.05302757998774,-35.2287784895767
80101100808,149.05786870076685,-35.22792374985014
80101100809,149.0589670097793,-35.22321231960875
80101100810,149.0412000348686,-35.22466823671528
80101100811,149.04525777531262,-35.22699866989615
80101100812,149.048858609247,-35.22756474484177
80101100901,149.0377878992462,-35.205802754993364
80101100902,149.04563008926863,-35.21114330277348
80101100903,149.04156932958696,-35.21323050991497
80101100904,149.05029108795182,-35.19964583977584
80101100905,149.04677879915846,-35.20118521455452
80101100906,149.04807608500633,-35.20376099973495
80101100907,149.04508443459878,-35.207600856983156
80101100908,149.04588212240137,-35.19648902449987
80101100909,149.04284429768995,-35.202791139507795
80101100910,149.0391551548716,-35.208395350811124
80101101001,149.03774107995196,-35.18838858933651
80101101002,149.0355420382724,-35.191850119277454
80101101003,149.053923849808,-35.19025498940266
80101101004,149.05212718779873,-35.19185000475357
80101101005,149.05306208966772,-35.195469484949776
80101101101,149.0937972059325,-35.205746274307344
80101101102,149.08882032276452,-35.21516323499493
80101101103,149.10253050136055,-35.20895121970813
80101101104,149.09347229068416,-35.210990499480765
80101101105,149.10009615946709,-35.21259954940364
80101101106,149.09850411481494,-35.216083846792564
80101101107,149.09483429565663,-35.21598624499462
80101101108,149.0889943542828,-35.21133393877537
80101101109,149.1014407092753,-35.2152826226023
80101101110,149.0978954999217,-35.21132022049038
80101101202,149.0819557225534,-35.19864716456802
80101101203,149.0493295645094,-35.180833754943464
80101101301,149.0405250569338,-35.242477569898014
80101101302,149.04317553977288,-35.244349692760196
80101101303,149.03683835843134,-35.25252358426606
80101101304,149.0424933196202,-35.251703496289466
80101101305,149.03021356438364,-35.24345357943776
80101101306,149.0371979145137,-35.24922767996737
80101101307,149.04190568847375,-35.24826550992602
80101101308,149.03175960002193,-35.249034099506034
80101101309,149.0364084543808,-35.24437818269114
80101101310,149.03388464926812,-35.24269677835544
80101101401,149.02554558489237,-35.23052159454134
80101101402,149.03102742455633,-35.23164212494662
80101101403,149.0201105896756,-35.23110126959821
80101101404,149.02521666495448,-35.23590669549662
80101101405,149.028517689756,-35.23861325224056
80101101406,149.02977086922178,-35.23357800476065
80101101407,149.03050814621983,-35.22723307478209
80101101502,149.0087995947094,-35.22248495962233
80101101503,149.0079328255631,-35.22531966959219
80101101504,149.01431124496605,-35.22185256957594
80101101505,149.0151431307332,-35.2293526597333
80101101506,149.02779171086925,-35.22384569928078
80101101508,149.02430387781112,-35.22160011457713
80101101509,149.01029482433017,-35.22014261964309
80101101510,149.00875379140967,-35.227759884516395
80101101511,149.01210529973355,-35.227949660369895
80101101512,149.01380497962478,-35.225173664733354
80101101513,149.01953396468798,-35.22203810949374
80101101514,149.02386206389653,-35.225590134966446
80101101515,149.01903450947484,-35.225035902695595
80101101516,148.9976566215323,-35.22683072490549
80101101517,149.00255785487525,-35.22367008354224
80101101601,149.108397685942,-35.22508116442418
80101101602,149.10470237618927,-35.23605484994036
80101101603,149.09930231555555,-35.23471071999297
80101101604,149.1101668801649,-35.234018574309076
80101101605,149.11301403925393,-35.2318481035428
80101101606,149.11365402960504,-35.22561487872029
80101101607,149.108842104971,-35.229582833411044
80101101608,149.12020497944147,-35.23166182000226
80101101609,149.09526390416153,-35.23222096578067
80101101610,149.09984589421887,-35.227989135922414
80101101611,149.10059359436914,-35.23076750585804
80101101612,149.10834899635535,-35.2201722893352
80101101613,149.10399094731517,-35.221711724835885
80101101614,149.11630155968174,-35.22414819195145
80101101615,149.10849596792232,-35.21577852492739
80101101616,149.1034311387897,-35.2170680699189
80101101617,149.1093435445626,-35.212070765294015
80101101618,149.1143603255056,-35.218573334401256
80101101619,149.10411814426786,-35.22871103997755
80101101701,149.0235580039358,-35.21878271983811
80101101702,149.03981388946943,-35.218610621665185
80101101703,149.03235996927913,-35.21595176079361
80101101704,149.02929089846714,-35.221349094958526
80101101705,149.02487481736136,-35.215520229634
80101101706,149.03169103970112,-35.20975308475134
80101101707,149.03578735470177,-35.223087301864474
80101101708,149.03668153414233,-35.21384566771088
80101101709,149.0326874842519,-35.22251878792108
80101101802,149.08949521086774,-35.223054574570725
80101101805,149.08307559382757,-35.228679964521874
