sa1_code_2021,pairs,pairs_within_10_min,pairs_within_15_min,pct_within_10_min,pct_within_15_min,lon,lat
80101100102,1,0,0,0.0,0.0,149.085309880009,-35.25658177239395
80101100103,1,0,1,0.0,1.0,149.07540832465563,-35.257059626670284
80101100104,1,0,0,0.0,0.0,149.08339101927334,-35.26221079530831
80101100105,1,0,0,0.0,0.0,149.0771251991997,-35.26092386471927
80101100106,1,0,0,0.0,0.0,149.08002877967508,-35.25851901980215
80101100201,2,0,0,0.0,0.0,149.06951090637492,-35.245095504540714
80101100202,1,0,1,0.0,1.0,149.0712124529653,-35.24832934487539
80101100208,1,0,1,0.0,1.0,149.07373720939384,-35.24560498264882
80101100211,1,0,0,0.0,0.0,149.06027731491065,-35.234200219575
80101100304,2,0,0,0.0,0.0,149.1005840344979,-35.24090522281914
80101100312,1,0,0,0.0,0.0,149.09607358447315,-35.24115499997502
80101100401,2,0,1,0.0,0.5,149.0385677294393,-35.1950206949187
80101100402,1,1,1,1.0,1.0,149.03698117259523,-35.19737411975589
80101100403,4,0,0,0.0,0.0,149.0416380318416,-35.19912479493717
80101100404,2,0,0,0.0,0.0,149.03943102749537,-35.20208105996306
80101100405,4,1,1,0.25,0.25,149.0321233188973,-35.19660805490525
80101100406,3,0,1,0.0,0.3333333333333333,149.02880786535567,-35.20142911980742
80101100408,1,0,0,0.0,0.0,149.03116144601023,-35.20483105476464
80101100409,2,1,1,0.5,0.5,149.0349466843094,-35.201899140943205
80101100502,1,0,0,0.0,0.0,149.0659195092427,-35.2587478747205
80101100503,1,0,0,0.0,0.0,149.06839543415066,-35.2638703943039
80101100504,1,0,0,0.0,0.0,149.0708266633817,-35.258650764362095
80101100507,1,0,0,0.0,0.0,149.0651647132999,-35.26350390996199
80101100508,1,0,0,0.0,0.0,149.06295277001624,-35.261848132301175
80101100509,1,0,0,0.0,0.0,149.0602668495376,-35.259946574264504
80101100604,3,0,1,0.0,0.3333333333333333,149.02725902697372,-35.197246714636286
80101100605,2,0,0,0.0,0.0,149.02426477324852,-35.187177784536466
80101100606,2,0,0,0.0,0.0,149.02882464229194,-35.18549920437276
80101100607,1,0,0,0.0,0.0,149.02944485982536,-35.18874404469691
80101100608,2,0,0,0.0,0.0,149.0232404943986,-35.19085949861012
80101100609,3,0,0,0.0,0.0,149.0271528047847,-35.19209436236208
80101100610,1,0,0,0.0,0.0,149.0244668097458,-35.19452868062597
80101100611,2,0,0,0.0,0.0,149.02077018935103,-35.19895270941372
80101100612,5,0,0,0.0,0.0,149.01846641039756,-35.19653359448763
80101100613,1,0,0,0.0,0.0,149.0238341918682,-35.19694790958105
80101100614,2,0,0,0.0,0.0,149.01257391847793,-35.20094649973694
80101100616,3,0,0,0.0,0.0,149.02078588920727,-35.19265133462954
80101100617,1,0,0,0.0,0.0,149.0153447144796,-35.199661674850915
80101100618,2,0,0,0.0,0.0,149.03093155455255,-35.19115845600139
80101100620,2,0,0,0.0,0.0,149.0159901549096,-35.19358140081891
80101100622,2,0,0,0.0,0.0,149.01897068686887,-35.1898394949083
80101100623,4,0,1,0.0,0.25,149.02968079784313,-35.194284804571296
80101100701,1,0,0,0.0,0.0,149.06051141138212,-35.21928854998356
80101100702,1,0,0,0.0,0.0,149.06008978890017,-35.2154024547863
80101100703,1,0,1,0.0,1.0,149.0665907097617,-35.216479190522314
