sa1_code_2021,school,walk_time_sec
80101101306,Belconnen High School,483.9994648293656
80101101308,Belconnen High School,670.6981323456562
80101101310,Belconnen High School,1045.395106294177
80101101503,Belconnen High School,3653.7547594147914
80101101509,University of Canberra Senior Secondary College Lake Ginninderra,11658.495044211033
80101101606,University of Canberra High School Kaleen,1758.7411894604033
80101101608,University of Canberra Senior Secondary College Lake Ginninderra,3084.6312235006353
80101101609,University of Canberra High School Kaleen,812.2490975200838
80101101611,University of Canberra High School Kaleen,757.063845292929
80101101612,University of Canberra High School Kaleen,1054.357544368731
80101101613,University of Canberra High School Kaleen,563.7462287331018
80101101619,Dickson College,3469.385845695918
80101101619,University of Canberra High School Kaleen,593.6585710051014
80101101619,University of Canberra Senior Secondary College Lake Ginninderra,4652.572081861155
80101101701,Canberra High School,5491.506396639591
80101101702,Belconnen High School,3304.1823475750557
80101101702,Canberra High School,5087.189958138176
80101101704,Canberra High School,5028.6856169182665
80101101706,Belconnen High School,5237.447290146645
80101101706,Canberra High School,7185.069597164287
80101101706,Melba Copland Secondary School,2878.4275028064903
80101101902,Canberra High School,7497.18994358824
80101101907,Canberra High School,6606.663375290214
80101101907,University of Canberra Senior Secondary College Lake Ginninderra,11666.419887396556
80101101908,Melba Copland Secondary School,3439.9784524453917
80101101909,Charnwood-Dunlop School,1382.334150987921
80101101909,Melba Copland Secondary School,2451.4841948287926
80101101911,Belconnen High School,4470.379054830045
80101101913,Belconnen High School,4529.712685698696
80101101913,Canberra High School,6504.044737230796
80101101918,Canberra High School,7268.823494492775
80101102001,Canberra High School,1934.215941581759
80101102002,Canberra High School,1168.4448429614279
80101102004,Canberra High School,1947.488477661665
80101102005,Canberra High School,451.8624744965555
80101102006,Canberra High School,933.6974843970414
80101102007,Canberra High School,1539.3466851570438
80101102008,Canberra High School,1488.7638435622305
80101102102,Melba Copland Secondary School,2158.7612189100296
80101102103,University of Canberra Senior Secondary College Lake Ginninderra,7877.308455773201
80101102104,Melba Copland Secondary School,1702.6697119593186
80101102105,Harrison School,7774.37695543076
80101102105,University of Canberra Senior Secondary College Lake Ginninderra,7837.5806380801605
80101102202,Melba Copland Secondary School,1187.9013127608002
80101102203,Melba Copland Secondary School,386.8704249227459
80101102204,Melba Copland Secondary School,668.5405968189141
80101102205,Melba Copland Secondary School,494.6231755973587
80101102206,Melba Copland Secondary School,1078.096471417464
80101102206,University of Canberra Senior Secondary College Lake Ginninderra,9101.982723077655
80101102207,Melba Copland Secondary School,686.5693347448228
80101102301,Belconnen High School,1422.8668618656184
80101102304,Belconnen High School,1944.516760991654
80101102304,Canberra High School,2562.580113533131
80101102306,Belconnen High School,1664.6377185404478
80101102402,Belconnen High School,1917.3384464968747
80101102402,Canberra High School,3978.334585066988
80101102404,Belconnen High School,1167.7452919775596
80101102406,Belconnen High School,1424.8555014933181
80101102502,University of Canberra Senior Secondary College Lake Ginninderra,9075.741223388632
80101102503,Canberra High School,5339.8378726117935
80101102503,Melba Copland Secondary School,1316.4748501315908
80101102503,University of Canberra Senior Secondary College Lake Ginninderra,8808.971755501805
80101102504,Melba Copland Secondary School,2471.5921651263493
80101102505,Melba Copland Secondary School,2207.7759665117096
80101102506,University of Canberra Senior Secondary College Lake Ginninderra,9867.353876078216
80101102601,Canberra High School,2235.361011445272
80101102603,Belconnen High School,1075.4919439615999
80101102603,Canberra High School,2772.780131610293
80101102604,Canberra High School,2371.1994804156484
80101102606,Canberra High School,2487.1140569850495
80101102607,Canberra High School,2036.321614730667
80103111301,Telopea Park School,8158.330510005331
80103111302,Red Hill Primary School,2948.1273305578384
80103111401,Campbell Primary School,7525.996076345092
80104103401,Amaroo School,4026.021690555238
80104103402,Amaroo School,3940.4159092161385
80104103403,Amaroo School,3934.319544625093
80104103404,Amaroo School,3358.5162263423217
80104103405,Amaroo School,3488.111801658267
80104103406,Amaroo School,4112.475592264921
80104103407,Amaroo School,4229.198741917998
80104103408,Amaroo School,3753.57225902948
80104103409,Amaroo School,4220.712479709969
80104103410,Amaroo School,3616.9846213314913
80104103411,Amaroo School,3312.6560998434534
80104103412,Amaroo School,3898.8304133096467
80104103413,Amaroo School,4084.778038326238
80104103414,Amaroo School,4158.9244734552485
80104103501,Amaroo School,3786.1473710226956
80104103505,Amaroo School,4612.663745876633
80104103505,Harrison School,4960.985608401864
80104103506,Amaroo School,3761.1598628704623
80104103507,Amaroo School,4823.446466742106
80104103508,Amaroo School,4396.602103750839
80104103509,Amaroo School,3997.3886289093784
80104103510,Amaroo School,4587.013631456317
80104103511,Amaroo School,4112.197201513813
80104103511,Harrison School,4460.519064039042
80104103512,Amaroo School,4909.920098658093
80104103513,Amaroo School,4747.815103405981
80104103514,Amaroo School,5072.040215332073
80104103515,Amaroo School,4879.691100902118
80104103516,Amaroo School,4460.194028561011
80104103517,Amaroo School,5058.905100793772
80104103518,Amaroo School,4748.3388988260995
80104103519,Amaroo School,4418.311146650137
80104103520,Amaroo School,3683.1957999555802
80104103522,Amaroo School,3873.8079492529646
80104103601,Amaroo School,5487.529163441182
80104103604,Amaroo School,5999.933638469883
80104103615,Amaroo School,6207.354518968621
80104103708,Harrison School,4613.2621963667525
80104103714,Harrison School,4616.433882883001
80104103804,Amaroo School,3182.3401631931815
80104103804,Harrison School,3530.662025718412
80104103805,Amaroo School,4508.992169537253
80104103806,Amaroo School,3251.4855589007957
80104103806,Harrison School,3599.807421426027
80104103807,Amaroo School,3840.756396892421
80104103808,Amaroo School,2591.802250300375
80104103808,Harrison School,2940.1241128256056
80104103809,Amaroo School,3487.366379641808
80104103809,Harrison School,3835.6882421670393
80104103810,Amaroo School,2787.749219070136
80104103810,Harrison School,3136.0710815953666
80104103811,Amaroo School,3255.2607246295456
80104103812,Amaroo School,4112.453565328963
80104103813,Amaroo School,2286.9441181934144
80104103813,Harrison School,2635.265980718645
80104103814,Amaroo School,3138.774469428865
80104103814,Harrison School,3487.096331954096
80104103815,Amaroo School,3270.930865287622
80104103815,Harrison School,3619.252727812853
80104103907,Harrison School,1085.4477738309452
80104103908,Harrison School,989.9574001983641
80104103910,Harrison School,571.2272650781958
80104103912,Harrison School,1134.5874836680184
80104103914,Harrison School,1393.26824138632
80104103915,Harrison School,1262.7554557380163
80104103916,Harrison School,754.7178265509735
80104103918,Harrison School,1656.4838823298564
80104103919,Harrison School,1641.918545855457
80104103921,Harrison School,550.3419569344479
80104103922,Harrison School,607.5601367275281
80104103923,Harrison School,986.635926063378
80104103924,Harrison School,1028.6185182906436
80104103925,Harrison School,1588.480540856512
80104103927,Harrison School,985.2120533932924
80104104001,Amaroo School,2024.8609153809568
80104104001,Harrison School,2373.182777906188
80104104002,Harrison School,3062.336872582031
80104104005,Harrison School,2217.3476492839163
80104104006,Amaroo School,1781.5042456050958
80104104006,Harrison School,2129.8261081303267
80104104007,Harrison School,1847.3941001189726
80104104008,Harrison School,1564.0643598046158
80104104013,Harrison School,2671.2600298994394
80104104014,Amaroo School,2805.5545189277736
80104104014,Harrison School,3153.8763814530053
80104104015,Amaroo School,2412.045103633306
80104104015,Harrison School,2760.3669661585373
80104104017,Harrison School,1473.2506157550547
80104104019,Harrison School,2520.012444673246
80104104022,Harrison School,2336.763854823002
80104104024,Harrison School,2930.4790598608092
80104104025,Harrison School,1201.0673749322327
80104104026,Harrison School,2583.824151588723
80104104027,Harrison School,2267.6420829839917
80104104401,Harrison School,1209.7809249590373
80104104402,Harrison School,1413.6672365795469
80104104404,Harrison School,1025.569402205717
80104104404,Telopea Park School,13141.190417254682
80104104405,Harrison School,1289.176268222348
80104104409,Harrison School,961.9736976725769
80104104410,Harrison School,548.7110672415054
80104104411,Harrison School,834.2961916730012
80104104412,Harrison School,956.0040891928915
80104104413,Harrison School,969.9908083991445
80104104414,Harrison School,686.7818451017309
80104104415,Harrison School,419.5000339453142
80104104416,Harrison School,1671.9692107385163
80104104417,Harrison School,1781.9592181547005
80104104418,Harrison School,430.14414568364725
80104104419,Harrison School,163.5952084491159
80104104420,Harrison School,833.8159159246903
80104104421,Harrison School,483.541223694485
80104104423,Harrison School,1086.7761693280647
80104104424,Harrison School,1731.4382782219634
