sa1_code_2021,school,walk_time_sec,walk_time_min,within_10_min,within_15_min,within_20_min,lon,lat
80101100102,Canberra High School,1256.3521309444045,20.939202182406742,0,0,0,149.085309880009,-35.25658177239395
80101100103,Canberra High School,800.6937781543777,13.34489630257296,0,1,1,149.07540832465563,-35.257059626670284
80101100104,Canberra High School,1446.918340800962,24.115305680016032,0,0,0,149.08339101927334,-35.26221079530831
80101100105,Canberra High School,1121.3208426206368,18.688680710343945,0,0,1,149.0771251991997,-35.26092386471927
80101100106,Canberra High School,1091.942524788322,18.19904207980537,0,0,1,149.08002877967508,-35.25851901980215
80101100201,Canberra High School,1141.509285273808,19.025154754563466,0,0,1,149.06951090637492,-35.245095504540714
80101100201,University of Canberra Senior Secondary College Lake Ginninderra,6372.102094490089,106.20170157483481,0,0,0,149.06951090637492,-35.245095504540714
80101100202,Canberra High School,650.0573814696935,10.834289691161558,0,1,1,149.0712124529653,-35.24832934487539
80101100208,Canberra High School,745.2268826103109,12.420448043505182,0,1,1,149.07373720939384,-35.24560498264882
80101100211,Canberra High School,2409.4889128967247,40.158148548278746,0,0,0,149.06027731491065,-35.234200219575
80101100304,Canberra High School,2788.993852081316,46.483230868021934,0,0,0,149.1005840344979,-35.24090522281914
80101100304,University of Canberra Senior Secondary College Lake Ginninderra,4192.602109372678,69.87670182287796,0,0,0,149.1005840344979,-35.24090522281914
80101100312,Canberra High School,2853.268699418624,47.55447832364373,0,0,0,149.09607358447315,-35.24115499997502
80101100401,Fraser Primary School,759.9287783369542,12.665479638949238,0,1,1,149.0385677294393,-35.1950206949187
80101100401,Melba Copland Secondary School,2357.299963971531,39.28833273285885,0,0,0,149.0385677294393,-35.1950206949187
80101100402,Charnwood-Dunlop School,287.63119437301305,4.793853239550217,1,1,1,149.03698117259523,-35.19737411975589
80101100403,Canberra High School,6903.969095201112,115.06615158668521,0,0,0,149.0416380318416,-35.19912479493717
80101100403,Charnwood-Dunlop School,1021.1388312467373,17.018980520778953,0,0,1,149.0416380318416,-35.19912479493717
80101100403,Fraser Primary School,971.387900798856,16.1897983466476,0,0,1,149.0416380318416,-35.19912479493717
80101100403,Melba Copland Secondary School,1779.2472584093082,29.65412097348847,0,0,0,149.0416380318416,-35.19912479493717
80101100404,Charnwood-Dunlop School,1215.137640360567,20.25229400600945,0,0,0,149.03943102749537,-35.20208105996306
80101100404,Melba Copland Secondary School,1871.648793657085,31.194146560951417,0,0,0,149.03943102749537,-35.20208105996306
80101100405,Belconnen High School,6080.45087044766,101.34084784079434,0,0,0,149.0321233188973,-35.19660805490525
80101100405,Charnwood-Dunlop School,451.1915536837354,7.5198592280622565,1,1,1,149.0321233188973,-35.19660805490525
80101100405,Fraser Primary School,1133.7764377582555,18.89627396263759,0,0,1,149.0321233188973,-35.19660805490525
80101100405,Melba Copland Secondary School,2918.096991681716,48.63494986136194,0,0,0,149.0321233188973,-35.19660805490525
80101100406,Belconnen High School,5665.228300290458,94.42047167150763,0,0,0,149.02880786535567,-35.20142911980742
80101100406,Charnwood-Dunlop School,813.5662597031592,13.55943766171932,0,1,1,149.02880786535567,-35.20142911980742
80101100406,Melba Copland Secondary School,2737.54039393442,45.62567323224034,0,0,0,149.02880786535567,-35.20142911980742
80101100408,Charnwood-Dunlop School,1221.5153254319653,20.35858875719942,0,0,0,149.03116144601023,-35.20483105476464
80101100409,Charnwood-Dunlop School,480.04295054171433,8.000715842361906,1,1,1,149.0349466843094,-35.201899140943205
80101100409,Melba Copland Secondary School,3047.070463689035,50.78450772815059,0,0,0,149.0349466843094,-35.201899140943205
80101100502,Canberra High School,1311.2367890541873,21.853946484236456,0,0,0,149.0659195092427,-35.2587478747205
80101100503,Canberra High School,1553.6476885993718,25.894128143322863,0,0,0,149.06839543415066,-35.2638703943039
80101100504,Canberra High School,995.7131332458382,16.595218887430637,0,0,1,149.0708266633817,-35.258650764362095
80101100507,Canberra High School,1684.194171085365,28.06990285142275,0,0,0,149.0651647132999,-35.26350390996199
80101100508,Canberra High School,1574.4154988488629,26.240258314147713,0,0,0,149.06295277001624,-35.261848132301175
80101100509,Canberra High School,1669.354306735814,27.822571778930232,0,0,0,149.0602668495376,-35.259946574264504
80101100604,Charnwood-Dunlop School,873.9592577199886,14.565987628666477,0,1,1,149.02725902697372,-35.197246714636286
80101100604,Fraser Primary School,1579.2724893770503,26.32120815628417,0,0,0,149.02725902697372,-35.197246714636286
80101100604,Melba Copland Secondary School,3115.740837956244,51.9290139659374,0,0,0,149.02725902697372,-35.197246714636286
80101100605,Fraser Primary School,2148.03003947714,35.80050065795233,0,0,0,149.02426477324852,-35.187177784536466
80101100605,Melba Copland Secondary School,4133.783140966469,68.89638568277448,0,0,0,149.02426477324852,-35.187177784536466
80101100606,Fraser Primary School,1897.6246109842075,31.627076849736792,0,0,0,149.02882464229194,-35.18549920437276
80101100606,Melba Copland Secondary School,3883.377712473535,64.72296187455892,0,0,0,149.02882464229194,-35.18549920437276
80101100607,Fraser Primary School,1608.0968151889788,26.80161358648298,0,0,0,149.02944485982536,-35.18874404469691
80101100608,Charnwood-Dunlop School,1530.7433075463375,25.512388459105626,0,0,0,149.0232404943986,-35.19085949861012
80101100608,Fraser Primary School,1850.3877875546443,30.839796459244074,0,0,0,149.0232404943986,-35.19085949861012
80101100609,Belconnen High School,6532.950931575411,108.88251552625685,0,0,0,149.0271528047847,-35.19209436236208
80101100609,Charnwood-Dunlop School,1116.9488228807306,18.615813714678843,0,0,1,149.0271528047847,-35.19209436236208
80101100609,Melba Copland Secondary School,3389.2541663717984,56.48756943952997,0,0,0,149.0271528047847,-35.19209436236208
80101100610,Charnwood-Dunlop School,1142.6743067866096,19.044571779776827,0,0,1,149.0244668097458,-35.19452868062597
80101100611,Charnwood-Dunlop School,1486.8749933833749,24.781249889722915,0,0,0,149.02077018935103,-35.19895270941372
80101100611,University of Canberra Senior Secondary College Lake Ginninderra,11393.657634537998,189.89429390896663,0,0,0,149.02077018935103,-35.19895270941372
80101100612,Belconnen High School,6351.271154537122,105.85451924228536,0,0,0,149.01846641039756,-35.19653359448763
80101100612,Canberra High School,7925.156123283113,132.08593538805187,0,0,0,149.01846641039756,-35.19653359448763
80101100612,Charnwood-Dunlop School,1902.1706280362555,31.70284380060426,0,0,0,149.01846641039756,-35.19653359448763
80101100612,Fraser Primary School,2338.6409278565534,38.977348797609224,0,0,0,149.01846641039756,-35.19653359448763
80101100612,Melba Copland Secondary School,3604.702806484961,60.07838010808268,0,0,0,149.01846641039756,-35.19653359448763
80101100613,Charnwood-Dunlop School,1535.975085163442,25.59958475272403,0,0,0,149.0238341918682,-35.19694790958105
80101100614,Charnwood-Dunlop School,2362.417308434932,39.37362180724886,0,0,0,149.01257391847793,-35.20094649973694
80101100614,Fraser Primary School,3112.342470005471,51.87237450009118,0,0,0,149.01257391847793,-35.20094649973694
80101100616,Belconnen High School,6653.534454843138,110.8922409140523,0,0,0,149.02078588920727,-35.19265133462954
80101100616,Charnwood-Dunlop School,1537.9990735869728,25.633317893116214,0,0,0,149.02078588920727,-35.19265133462954
80101100616,Melba Copland Secondary School,3758.4263101087295,62.640438501812156,0,0,0,149.02078588920727,-35.19265133462954
80101100617,Charnwood-Dunlop School,2027.0221424482936,33.78370237413823,0,0,0,149.0153447144796,-35.199661674850915
80101100618,Fraser Primary School,1198.5008103479104,19.975013505798508,0,0,1,149.03093155455255,-35.19115845600139
80101100618,Melba Copland Secondary School,3184.2539118372383,53.07089853062064,0,0,0,149.03093155455255,-35.19115845600139
80101100620,Fraser Primary School,2295.329919451945,38.255498657532414,0,0,0,149.0159901549096,-35.19358140081891
80101100620,Melba Copland Secondary School,3829.89122818825,63.83152046980417,0,0,0,149.0159901549096,-35.19358140081891
80101100622,Charnwood-Dunlop School,1859.869592326978,30.997826538782967,0,0,0,149.01897068686887,-35.1898394949083
80101100622,Fraser Primary School,2167.9869281629235,36.133115469382055,0,0,0,149.01897068686887,-35.1898394949083
80101100623,Canberra High School,7642.421802405349,127.37369670675581,0,0,0,149.02968079784313,-35.194284804571296
80101100623,Charnwood-Dunlop School,771.415885624345,12.856931427072418,0,1,1,149.02968079784313,-35.194284804571296
80101100623,Fraser Primary School,1101.6717918842137,18.36119653140356,0,0,1,149.02968079784313,-35.194284804571296
80101100623,Melba Copland Secondary School,3087.424893373541,51.45708155622569,0,0,0,149.02968079784313,-35.194284804571296
80101100701,Melba Copland Secondary School,1148.901606305295,19.14836010508825,0,0,1,149.06051141138212,-35.21928854998356
80101100702,University of Canberra Senior Secondary College Lake Ginninderra,8275.80959211324,137.930159868554,0,0,0,149.06008978890017,-35.2154024547863
80101100703,Melba Copland Secondary School,852.2932982393602,14.204888303989337,0,1,1,149.0665907097617,-35.216479190522314
80101100704,Canberra High School,4698.115518163687,78.30192530272811,0,0,0,149.06313578199246,-35.21289787999735
80101100706,Melba Copland Secondary School,791.4220290904348,13.190367151507246,0,1,1,149.06409276355288,-35.21011168487037
80101100707,Canberra High School,5195.455901873382,86.5909316978897,0,0,0,149.06872477270352,-35.20840682435237
80101100708,Melba Copland Secondary School,2199.983319563933,36.66638865939888,0,0,0,149.08018237991058,-35.209389059752546
80101100709,Melba Copland Secondary School,1522.941242237406,25.3823540372901,0,0,0,149.07405051930704,-35.20932215038727
80101100711,Melba Copland Secondary School,1883.570325468982,31.392838757816367,0,0,0,149.07375950917245,-35.20297572691937
80101100711,University of Canberra Senior Secondary College Lake Ginninderra,8667.95506591901,144.46591776531685,0,0,0,149.07375950917245,-35.20297572691937
80101100712,Canberra High School,4546.834649552116,75.78057749253527,0,0,0,149.07839476213954,-35.211192169351435
80101100712,Melba Copland Secondary School,1857.9914846743156,30.966524744571927,0,0,0,149.07839476213954,-35.211192169351435
80101100712,University of Canberra High School Kaleen,3227.637781423099,53.79396302371832,0,0,0,149.07839476213954,-35.211192169351435
80101100712,University of Canberra Senior Secondary College Lake Ginninderra,8015.968532442123,133.59947554070206,0,0,0,149.07839476213954,-35.211192169351435
80101100713,Melba Copland Secondary School,2230.8484844911786,37.180808074852976,0,0,0,149.07786605688247,-35.20547244492648
80101100802,Melba Copland Secondary School,1766.1606631998743,29.43601105333124,0,0,0,149.04842713943282,-35.22321613853236
80101100802,University of Canberra Senior Secondary College Lake Ginninderra,8674.330840274453,144.5721806712409,0,0,0,149.04842713943282,-35.22321613853236
80101100803,Belconnen High School,3173.003185959947,52.88338643266579,0,0,0,149.04474715493882,-35.22197183653225
80101100803,Canberra High School,4352.240966225971,72.53734943709951,0,0,0,149.04474715493882,-35.22197183653225
80101100807,Canberra High School,3447.208147846922,57.45346913078204,0,0,0,149.05302757998774,-35.2287784895767
80101100811,Belconnen High School,2660.677455805266,44.3446242634211,0,0,0,149.04525777531262,-35.22699866989615
80101100811,University of Canberra Senior Secondary College Lake Ginninderra,9062.859809740095,151.04766349566825,0,0,0,149.04525777531262,-35.22699866989615
80101100812,Canberra High School,3683.175999712362,61.3862666618727,0,0,0,149.048858609247,-35.22756474484177
80101100901,Dickson College,2187.800313978222,36.463338566303705,0,0,0,149.0377878992462,-35.205802754993364
80101100904,Fraser Primary School,1253.3780576089823,20.889634293483038,0,0,0,149.05029108795182,-35.19964583977584
80101100904,Melba Copland Secondary School,1679.688739432166,27.994812323869432,0,0,0,149.05029108795182,-35.19964583977584
80101100905,Melba Copland Secondary School,1469.6741799161118,24.494569665268532,0,0,0,149.04677879915846,-35.20118521455452
80101100907,Melba Copland Secondary School,768.5437426859166,12.809062378098611,0,1,1,149.04508443459878,-35.20760085698316
80101100908,Fraser Primary School,720.8473683100184,12.014122805166974,0,1,1,149.04588212240137,-35.19648902449987
80101100910,Melba Copland Secondary School,1183.741887848459,19.729031464140984,0,0,1,149.0391551548716,-35.208395350811124
80101101001,Fraser Primary School,1107.8833153456303,18.46472192242717,0,0,1,149.03774107995196,-35.18838858933651
80101101001,Melba Copland Secondary School,3113.518761351211,51.89197935585352,0,0,0,149.03774107995196,-35.18838858933651
