lon,lat
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1236662,-35.18784524
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1236662,-35.18784524
149.1428789,-35.25344606
149.1008999,-35.17702592
149.1008999,-35.17702592
149.1389186,-35.25300846
149.0882278,-35.35945117
149.0588667,-35.21250506
149.1556876,-35.28732792
149.0865327,-35.40790103
149.0882278,-35.35945117
149.0885994,-35.36276738
149.124805,-35.33241923
149.0931127,-35.42505875
149.124805,-35.33241923
149.1256275,-35.2514168
149.0899328,-35.40541396
149.0882278,-35.35945117
149.0865327,-35.40790103
149.0874449,-35.24460475
149.0411711,-35.22499669
149.1464467,-35.32363989
149.1256831,-35.31446042
149.0943121,-35.32418957
149.0805663,-35.39421182
149.0429345,-35.24020178
149.1109263,-35.31224635
149.0591861,-35.32701158
149.0899328,-35.40541396
149.133676,-35.31370238
149.1454991,-35.32276245
149.0505814,-35.33221873
149.0505814,-35.33221873
149.1367055,-35.26688713
149.0495119,-35.21366394
149.1176089,-35.44087726
149.0865327,-35.40790103
149.0885994,-35.36276738
149.0495119,-35.21366394
149.0363126,-35.19867811
149.0805663,-35.39421182
149.1464467,-35.32363989
149.1389186,-35.25300846
149.0805663,-35.39421182
149.1006741,-35.18067465
149.133676,-35.31370238
149.133676,-35.31370238
149.0885994,-35.36276738
149.0931127,-35.42505875
149.1428789,-35.25344606
149.0937054,-35.17975595
149.1278506,-35.33109178
149.0865327,-35.40790103
149.1428789,-35.25344606
149.1236662,-35.18784524
149.1454991,-35.32276245
149.0544905,-35.35492031
149.1185932,-35.44184375
149.0411711,-35.22499669
149.0417248,-35.22679501
149.0885994,-35.36276738
149.0885994,-35.36276738
149.1454991,-35.32276245
149.0865327,-35.40790103
149.039008,-35.24739818
149.1454991,-35.32276245
149.1006905,-35.18068628
149.0899328,-35.40541396
149.1389186,-35.25300846
149.1560114,-35.29012735
149.133676,-35.31370238
149.0865327,-35.40790103
149.0885994,-35.36276738
149.0495119,-35.21366394
149.1278506,-35.33109178
149.1256831,-35.31446042
149.0865327,-35.40790103
149.1389186,-35.25300846
149.067359,-35.39250397
149.1275767,-35.24894892
149.124805,-35.33241923
149.1515231,-35.19919817
149.1454991,-35.32276245
149.0865327,-35.40790103
149.0853008,-35.39471089
149.0746957,-35.25166936
149.1464467,-35.32363989
149.0899328,-35.40541396
149.0882278,-35.35945117
149.0499123,-35.33419454
149.1464467,-35.32363989
149.1158606,-35.31701448
149.109718,-35.41358592
149.1627307,-35.25017112
149.124805,-35.33241923
149.0411711,-35.22499669
149.0885994,-35.36276738
149.1275767,-35.24894892
149.0882278,-35.35945117
149.0931127,-35.42505875
149.0495119,-35.21366394
149.0865327,-35.40790103
149.1336759,-35.31370184
149.1389186,-35.25300846
149.1158606,-35.31701448
149.1336759,-35.31370184
149.0805663,-35.39421182
149.0411711,-35.22499669
149.0899328,-35.40541396
149.1275767,-35.24894892
149.0417248,-35.22679501
149.0805663,-35.39421182
149.0417248,-35.22679501
149.1109263,-35.31224635
149.0865327,-35.40790103
149.1158606,-35.31701448
149.1217966,-35.41801195
149.0673593,-35.39250607
149.1367055,-35.26688713
149.1464467,-35.32363989
149.0943121,-35.32418957
149.133676,-35.31370238
149.1278506,-35.33109178
149.0865327,-35.40790103
149.1158606,-35.31701448
149.1367055,-35.26688713
149.0499123,-35.33419454
149.0429345,-35.24020178
149.0805663,-35.39421182
149.1256831,-35.31446042
149.1256275,-35.2514168
149.1464467,-35.32363989
149.0595661,-35.32963618
149.1454991,-35.32276245
149.0882278,-35.35945117
149.1477875,-35.27861871
149.0882278,-35.35945117
149.1336759,-35.31370184
149.1158606,-35.31701448
149.0885994,-35.36276738
149.1515171,-35.19919644
149.1367055,-35.26688713
149.039008,-35.24739818
149.0865327,-35.40790103
149.133676,-35.31370238
149.1428789,-35.25344606
149.0853008,-35.39471089
149.1464467,-35.32363989
149.0865327,-35.40790103
149.0853008,-35.39471089
149.133676,-35.31370238
149.1006741,-35.18067465
149.0495119,-35.21366394
149.0746957,-35.25166936
149.1530189,-35.19527691
149.1556876,-35.28732792
149.0899328,-35.40541396
149.1109263,-35.31224635
149.0865327,-35.40790103
149.1109263,-35.31224635
149.1454991,-35.32276245
149.0882278,-35.35945117
149.1389186,-35.25300846
149.0931127,-35.42505875
149.1560114,-35.29012735
149.0882278,-35.35945117
149.0865327,-35.40790103
149.1090616,-35.438634
149.0805663,-35.39421182
149.0882278,-35.35945117
149.1336759,-35.31370184
149.1278506,-35.33109178
149.0673593,-35.39250607
149.039008,-35.24739818
149.0899328,-35.40541396
149.1454991,-35.32276245
149.0499123,-35.33419454
149.1367055,-35.26688713
149.0885994,-35.36276738
149.0874449,-35.24460475
149.0411711,-35.22499669
149.0805663,-35.39421182
149.1235447,-35.4475478
149.0505814,-35.33221873
149.0429345,-35.24020178
149.0885994,-35.36276738
149.0931127,-35.42505875
149.124805,-35.33241923
149.0853008,-35.39471089
149.0417248,-35.22679501
149.1109263,-35.31224635
149.0882278,-35.35945117
149.1367055,-35.26688713
149.1464467,-35.32363989
149.0865327,-35.40790103
149.109718,-35.41358592
149.1454991,-35.32276245
149.1477875,-35.27861871
149.0805663,-35.39421182
149.0899328,-35.40541396
149.0431569,-35.19200072
149.1236662,-35.18784524
149.0417248,-35.22679501
149.1367055,-35.26688713
149.0544905,-35.35492031
149.1235447,-35.4475478
149.0495119,-35.21366394
149.1428789,-35.25344606
149.0411711,-35.22499669
149.0882278,-35.35945117
149.0363126,-35.19867811
149.1158606,-35.31701448
149.1627307,-35.25017112
149.1158606,-35.31701448
149.124805,-35.33241923
149.0885994,-35.36276738
149.1454991,-35.32276245
149.1230934,-35.42004476
149.067359,-35.39250397
149.0805663,-35.39421182
149.1256831,-35.31446042
149.0899328,-35.40541396
149.0805663,-35.39421182
149.0899328,-35.40541396
149.0746957,-35.25166936
149.1515231,-35.19919817
149.1367055,-35.26688713
149.0411711,-35.22499669
149.1278506,-35.33109178
149.1367055,-35.26688713
149.0746957,-35.25166936
149.1256831,-35.31446042
149.1428789,-35.25344606
149.1454991,-35.32276245
149.1336759,-35.31370184
149.0937054,-35.17975595
149.0865327,-35.40790103
149.0417248,-35.22679501
149.0865327,-35.40790103
149.1454991,-35.32276245
149.0805663,-35.39421182
149.0937054,-35.17975595
149.1367055,-35.26688713
149.1326621,-35.33893929
149.1336759,-35.31370184
149.1367055,-35.26688713
149.0411711,-35.22499669
149.133676,-35.31370238
149.1454991,-35.32276245
149.1109263,-35.31224635
149.1006741,-35.18067465
149.0931127,-35.42505875
149.1367055,-35.26688713
149.0899328,-35.40541396
149.142844,-35.17097761
149.0865327,-35.40790103
149.0591861,-35.32701158
149.1389186,-35.25300846
149.0882278,-35.35945117
149.0411711,-35.22499669
149.1176089,-35.44087726
149.1389186,-35.25300846
149.0805663,-35.39421182
149.0885994,-35.36276738
149.1109263,-35.31224635
149.1454991,-35.32276245
149.0882278,-35.35945117
149.1275767,-35.24894892
149.039008,-35.24739818
149.1464467,-35.32363989
149.0931127,-35.42505875
149.1010716,-35.22524312
149.0417248,-35.22679501
149.1464467,-35.32363989
149.1336759,-35.31370184
149.0931127,-35.42505875
149.1256275,-35.2514168
149.0505814,-35.33221873
149.1278506,-35.33109178
149.0885994,-35.36276738
149.0865327,-35.40790103
149.1428789,-35.25344606
149.124805,-35.33241923
149.0885994,-35.36276738
149.1230934,-35.42004476
149.1389186,-35.25300846
149.0865327,-35.40790103
149.1556876,-35.28732792
149.0943121,-35.32418957
149.133676,-35.31370238
149.1464467,-35.32363989
149.0411711,-35.22499669
149.0899328,-35.40541396
149.0591861,-35.32701158
149.1185932,-35.44184375
149.0882278,-35.35945117
149.0882278,-35.35945117
149.1477875,-35.27861871
149.067359,-35.39250397
149.0411711,-35.22499669
149.1454991,-35.32276245
149.1560114,-35.29012735
149.0931127,-35.42505875
149.1389186,-35.25300846
149.124805,-35.33241923
149.1278506,-35.33109178
149.039008,-35.24739818
149.1464467,-35.32363989
149.0411711,-35.22499669
149.0885994,-35.36276738
149.0899328,-35.40541396
149.0411711,-35.22499669
149.0899328,-35.40541396
149.133676,-35.31370238
149.0865327,-35.40790103
149.1109263,-35.31224635
149.0899328,-35.40541396
149.0943121,-35.32418957
149.1336759,-35.31370184
149.1158606,-35.31701448
149.1256831,-35.31446042
149.1176089,-35.44087726
149.0931127,-35.42505875
149.0853008,-35.39471089
149.1109263,-35.31224635
149.1275767,-35.24894892
149.0746957,-35.25166936
149.1367055,-35.26688713
149.0899328,-35.40541396
149.0805663,-35.39421182
149.0899328,-35.40541396
149.0746957,-35.25166936
149.0591861,-35.32701158
149.1109263,-35.31224635
149.1464467,-35.32363989
149.0961123,-35.3929691
149.0411711,-35.22499669
149.0882278,-35.35945117
149.0429345,-35.24020178
149.0882278,-35.35945117
149.0805663,-35.39421182
149.1454991,-35.32276245
149.0417248,-35.22679501
149.1367055,-35.26688713
149.1367055,-35.26688713
149.1256831,-35.31446042
149.1006905,-35.18068628
149.1256831,-35.31446042
149.0417248,-35.22679501
149.0865327,-35.40790103
149.1477875,-35.27861871
149.0882278,-35.35945117
149.0899328,-35.40541396
149.1109263,-35.31224635
149.0943121,-35.32418957
149.1428789,-35.25344606
149.1428789,-35.25344606
149.1464467,-35.32363989
149.1464467,-35.32363989
149.1464467,-35.32363989
149.0882278,-35.35945117
149.0865327,-35.40790103
149.1006741,-35.18067465
149.0544905,-35.35492031
149.1185932,-35.44184375
149.0805663,-35.39421182
149.0417248,-35.22679501
149.0885994,-35.36276738
149.0899328,-35.40541396
149.0882278,-35.35945117
149.1515171,-35.19919644
149.0882278,-35.35945117
149.0495119,-35.21366394
149.1389186,-35.25300846
149.0431569,-35.19200072
149.0595661,-35.32963618
149.0885994,-35.36276738
149.0899328,-35.40541396
149.0588667,-35.21250506
149.1185932,-35.44184375
149.1428789,-35.25344606
149.1278506,-35.33109178
149.0865327,-35.40790103
149.1158606,-35.31701448
149.0899328,-35.40541396
149.1477875,-35.27861871
149.0882278,-35.35945117
149.1256275,-35.2514168
149.0899328,-35.40541396
149.1464467,-35.32363989
149.1176089,-35.44087726
149.1454991,-35.32276245
149.1478799,-35.25483698
149.0882278,-35.35945117
149.0673593,-35.39250607
149.0943121,-35.32418957
149.1006905,-35.18068628
149.1158606,-35.31701448
149.039008,-35.24739818
149.0885994,-35.36276738
149.0805663,-35.39421182
149.1454991,-35.32276245
149.1428789,-35.25344606
149.0429345,-35.24020178
149.0931127,-35.42505875
149.1010716,-35.22524312
149.0495119,-35.21366394
149.0899328,-35.40541396
149.1006905,-35.18068628
149.1389186,-35.25300846
149.1326621,-35.33893929
149.0417248,-35.22679501
149.1428789,-35.25344606
149.0595661,-35.32963618
149.1278506,-35.33109178
149.1278506,-35.33109178
149.0805663,-35.39421182
149.1217966,-35.41801195
149.1454991,-35.32276245
149.0931127,-35.42505875
149.1336759,-35.31370184
149.0499123,-35.33419454
149.0885994,-35.36276738
149.1275767,-35.24894892
149.1464467,-35.32363989
149.1256831,-35.31446042
149.0417248,-35.22679501
149.133676,-35.31370238
149.0899328,-35.40541396
149.0882278,-35.35945117
149.0931127,-35.42505875
149.0931127,-35.42505875
149.1389186,-35.25300846
149.0746957,-35.25166936
149.1278506,-35.33109178
149.0495119,-35.21366394
149.1530189,-35.19527691
149.1389186,-35.25300846
149.0899328,-35.40541396
149.1464467,-35.32363989
149.1464467,-35.32363989
149.0937054,-35.17975595
149.0931127,-35.42505875
149.1256831,-35.31446042
149.0595661,-35.32963618
149.0943121,-35.32418957
149.1454991,-35.32276245
149.0673593,-35.39250607
149.1478799,-35.25483698
149.1278506,-35.33109178
149.1158606,-35.31701448
149.133676,-35.31370238
149.0411711,-35.22499669
149.0411711,-35.22499669
149.0885994,-35.36276738
149.1090616,-35.438634
149.1336759,-35.31370184
149.0882278,-35.35945117
149.1256275,-35.2514168
149.1464467,-35.32363989
149.0931127,-35.42505875
149.0931127,-35.42505875
149.0865327,-35.40790103
149.1556876,-35.28732792
149.1336759,-35.31370184
149.0853008,-35.39471089
149.0865327,-35.40790103
149.0899328,-35.40541396
149.0885994,-35.36276738
149.0931127,-35.42505875
149.0899328,-35.40541396
149.0417248,-35.22679501
149.1428789,-35.25344606
149.142844,-35.17097761
149.0746957,-35.25166936
149.1454991,-35.32276245
149.1367055,-35.26688713
149.1428789,-35.25344606
149.1454991,-35.32276245
149.1336759,-35.31370184
149.0805663,-35.39421182
149.1090616,-35.438634
149.0544905,-35.35492031
149.1477875,-35.27861871
149.0429345,-35.24020178
149.124805,-35.33241923
149.124805,-35.33241923
149.067359,-35.39250397
149.0805663,-35.39421182
149.0882278,-35.35945117
149.0417248,-35.22679501
149.0865327,-35.40790103
149.0885994,-35.36276738
149.1256275,-35.2514168
149.0943121,-35.32418957
149.1464467,-35.32363989
149.0961123,-35.3929691
149.124805,-35.33241923
149.1090616,-35.438634
149.0899328,-35.40541396
149.0882278,-35.35945117
149.124805,-35.33241923
149.1560114,-35.29012735
