threshold_min,sa1_total,sa1_full,sa1_partial,sa1_none,pct_full,pct_partial,pct_none
10,624,34,23,567,0.05448717948717949,0.03685897435897436,0.9086538461538461
15,624,76,54,494,0.12179487179487179,0.08653846153846154,0.7916666666666666
